AREA	BALDE	FICHEIRO	LINHA	TERMO	TRECHO
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/App.jsx	44	Lances	const MercadoLances        = lazy(() => import("./pages/MercadoLances.jsx"));
FRONTEND	STRING-TECNICA	desafio-gut/frontend/src/App.jsx	44	Lances	const MercadoLances        = lazy(() => import("./pages/MercadoLances.jsx"));
FRONTEND	COMENTARIO	desafio-gut/frontend/src/App.jsx	187	leilão	// o Dashboard de leilão. Vão direto para /corporativo. Comuns/visitantes
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/App.jsx	391	Lances	<Route path="/mercado"    element={<MercadoLances />} />
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/App.jsx	434	Lances	<Route path="/corporativo/mercado"    element={<CorporativoRoute><MercadoLances /></CorporativoRoute>} />
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/CardLance.jsx	10	Lance	import { sanitizeLance, sanitizeEdicaoId } from "../utils/sanitize.js";
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/CardLance.jsx	11	lance	// MC88.43 — SÓ para o TEXTO do aviso. Quem bloqueia o lance continua a ser o
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/CardLance.jsx	15	Lance	import { verificarRateLimit, registrarLance } from "../utils/rateLimiter.js";
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/CardLance.jsx	18	Lance	assinarLance,
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/CardLance.jsx	19	Lance	enviarLance,
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/CardLance.jsx	20	Lance	hashLance,
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/CardLance.jsx	44	Lance	export default function CardLance({
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/CardLance.jsx	46	LanceS	onLanceSucesso,
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/CardLance.jsx	52	Leilao	tipoLeilao = "flash",
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/CardLance.jsx	60	Lance	// o CardLance no app das lojas (isLeilaoAtivo=false), o formulário de lance
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/CardLance.jsx	60	Leilao	// o CardLance no app das lojas (isLeilaoAtivo=false), o formulário de lance
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/CardLance.jsx	60	lance	// o CardLance no app das lojas (isLeilaoAtivo=false), o formulário de lance
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/CardLance.jsx	62	Lances	// MercadoLances já desmonta o leilão; isto é defesa em profundidade.
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/CardLance.jsx	62	leilão	// MercadoLances já desmonta o leilão; isto é defesa em profundidade.
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/CardLance.jsx	63	Leilao	const { isLeilaoAtivo, isLoading: recursosCarregando } = useRecursosApp();
