AREA	BALDE	FICHEIRO	LINHA	COL	TERMO	TRECHO
FRONTEND	COMENTARIO	desafio-gut/frontend/src/App.jsx	187	19	leilão	// o Dashboard de leilão. Vão direto para /corporativo. Comuns/visitantes
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/CardLance.jsx	11	56	lance	// MC88.43 — SÓ para o TEXTO do aviso. Quem bloqueia o lance continua a ser o
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/CardLance.jsx	60	74	lance	// o CardLance no app das lojas (isLeilaoAtivo=false), o formulário de lance
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/CardLance.jsx	62	34	leilão	// MercadoLances já desmonta o leilão; isto é defesa em profundidade.
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/CardLance.jsx	82	74	lance	// Cache do token de auth (10 min) — evita popup de signMessage a cada lance
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/CardLance.jsx	97	51	lance	// e o clique converte automaticamente antes do lance.
FRONTEND	STRING-TECNICA	desafio-gut/frontend/src/components/CardLance.jsx	120	56	lance	const resp = await fetch("/.netlify/functions/auth-lance", {
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/CardLance.jsx	171	25	Bid	// Cego + Key-Per-Bid). No Sepolia, só o flash usa este ramo (legado).
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/CardLance.jsx	173	68	lance	// MC91.11 — programado em mainnet: garante senha antes do lance.
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/CardLance.jsx	204	22	lance	// 3. Chamar lance-relampago com auth + idempotência
FRONTEND	STRING-TECNICA	desafio-gut/frontend/src/components/CardLance.jsx	206	55	lance	const resp = await fetch("/.netlify/functions/lance-relampago", {
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/CardLance.jsx	232	89	lance	throw new Error(msgMap[data?.error?.code] ?? data?.error?.message ?? "Erro no lance relâmpago.");
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/CardLance.jsx	274	10	Lance	"Lance minimo e R$ 0,01":             "Lance mínimo é R$ 0,01 (Art. 27).",
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/CardLance.jsx	274	48	Lance	"Lance minimo e R$ 0,01":             "Lance mínimo é R$ 0,01 (Art. 27).",
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/CardLance.jsx	342	53	lance	{ f: FASES.ENVIANDO,    label: "Registrando lance blindado · −1 senha..." },
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/CardLance.jsx	356	25	Lance	: "🎫 Confirmar Lance (−1 senha)"
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/CardLance.jsx	357	10	Lance	: "⚡ Lance Relâmpago";
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/CardLance.jsx	380	43	Lance	<h3 style={estilos.titulo}>🎯 Dar Lance</h3>
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/CardLance.jsx	416	16	Lance	? "Lance programado consome 1 senha (Art. 20: R$ 2,00) — sem senha, o app converte R$ 2,00 do saldo automaticamente."
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/CardLance.jsx	417	68	lance	: "DesafioGUT Flash · 30 min · debita saldo R$ · menor lance único vence (Art. 8)."}
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/CardLance.jsx	422	52	lance	<label style={estilos.labelInput}>Valor do lance (em centavos)</label>
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/CardLance.jsx	436	67	lances	<p style={estilos.hintInput}>Art. 27: Mín R$ 0,01 · Máx 5 lances/min · Cooldown 3s</p>
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/CardLance.jsx	456	33	Lance	{isProgramado ? "🎫 Lance registrado! (−1 senha)" : "✅ Lance registrado!"}
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/CardLance.jsx	456	68	Lance	{isProgramado ? "🎫 Lance registrado! (−1 senha)" : "✅ Lance registrado!"}
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/CardLance.jsx	484	46	lance	repetir-se dentro do formulário de lance. */}
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/CardLance.jsx	494	56	lances	? `${est.icone} Edição encerrada — novos lances bloqueados`
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/CardLance.jsx	495	52	lances	: `${est.icone} ${est.rotuloLongo} — lances ainda não abertos`;
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/CardLance.jsx	535	83	lance	// whileHover por spring. onClick/disabled/title/label e TODA a lógica de lance
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/CardLance.jsx	555	12	Lance	🔒 Lance protegido e sanitizado
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/CarrosselGUTO.jsx	181	43	lances	// quando o Dashboard re-renderiza (saldo/lances) e não perturba a máquina de crossfade.
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/ChatbotWidget.jsx	84	3	lance	lance_unico:          { titulo: "🎯 Lance único!",         bg: "rgba(0,200,83,0.12)",   borda: "rgba(0,200,83,0.45)",  barra: "#00c853" },
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/ChatbotWidget.jsx	84	39	Lance	lance_unico:          { titulo: "🎯 Lance único!",         bg: "rgba(0,200,83,0.12)",   borda: "rgba(0,200,83,0.45)",  barra: "#00c853" },
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/ChatbotWidget.jsx	99	3	lance	lance_invalido:    "notificacao",
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/ChatbotWidget.jsx	101	3	lance	lance_unico:          "lance_unico",
FRONTEND	STRING-TECNICA	desafio-gut/frontend/src/components/ChatbotWidget.jsx	101	26	lance	lance_unico:          "lance_unico",
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/ChatbotWidget.jsx	467	35	lances	SISTEMA PAUSADO — novos lances estão temporariamente bloqueados.
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/ComprarFichasModal.jsx	308	59	Lance	<p style={subTitulo}>Saldo R$ disponível para Lance Relâmpago ou troca por senhas</p>
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/ComprarFichasModal.jsx	547	37	Lance	💡 Para participar de Lance Programado, use <strong>Trocar R$ por Senhas</strong> na carteira (R$ 2,00 = 1 senha on-chain).
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/ExcluirContaModal.jsx	23	22	lances	"Saldo de senhas e lances já registrados na blockchain são imutáveis e não podem ser apagados (identificados apenas pela carteira).",
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/ExcluirContaModal.jsx	87	67	lances	removidos</strong> (saldo em R$, senhas, histórico de lances e perfil).
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/FimLeilaoOverlay.jsx	1	29	leilão	// MC16 — Overlay de fim de leilão compartilhado entre Dashboard e MercadoLances.
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/FimLeilaoOverlay.jsx	42	12	LEILÃO	}}>LEILÃO ENCERRADO</h2>
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/FimLeilaoOverlay.jsx	61	20	lance	Nenhum lance único registrado.
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/glass/AuctionStatusBar.jsx	5	11	leilão	// fim de leilão num ecrã que, ao lado, diz que o leilão ainda não abriu.
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/glass/AuctionStatusBar.jsx	5	51	leilão	// fim de leilão num ecrã que, ao lado, diz que o leilão ainda não abriu.
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/glass/AuctionStatusBar.jsx	28	50	lances	}}>{est.icone} {est.rotuloLongo} — novos lances bloqueados</span>
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/glass/ComingSoonHero.jsx	2	16	Lances	// vivo na aba Lances. "EM BREVE" é permanente (decisão MC65), então não há contagem.
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/glass/ComingSoonHero.jsx	10	20	Leilão	aria-label={`Leilão em breve — edição ${edicao || "R-1"}`}
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/glass/ComingSoonHero.jsx	50	20	leilão	{/* Regra do leilão */}
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/glass/ComingSoonHero.jsx	55	16	lance	}}>Menor lance único vence · Art. 8</p>
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/glass/GlassHeader.jsx	1	72	Lances	// MC66 — GlassHeader (Direção C): compositor do Glass superior da aba Lances.
